"text","labels","lang"
"The archery machine !","2, 7","en"
"Oletko vakooja?","1, 2, 3","fi"
"Right now she has murder in her heart .","3","en"
"Lopeta tuo hymyily.","1","fi"
"You're not issuing orders anymore.","9","en"
"What is it to you if I leave ?","1","en"
"Not for a little while , no , ma'am .","1, 3","en"
"Olen tuntenut hänet 30 vuotta.","8","fi"
"Who's afraid of a little booger?","9","en"
"Dolores , a bourbon , and make it a double .","2","en"
"Kukaan ei käy täällä.","9","fi"
"Se on minusta yllättävää.","7","fi"
"Hyvänen aika!","7","fi"
"Kaiva!","9","fi"
"Minä voin tehdä sen.","9","fi"
"[PERSON] hits the ceiling and throws me out .","6","en"
"Don't try and tell me the runway's too short .","1","en"
"Where's your armband? - In my pocket.","9","en"
"Al meidän pitäisi kuulustella Bobby Texiä vaimonsa kanssa ja tuolla olevaa makaronia.","9","fi"
"Nothing's happened recently to shake my self - confidence .","5","en"
"Mahdotonta!","7","fi"
"I was posing as his next of kin.","9","en"
"Hey , wasn't it gruesome , that girl who was shot in the street today ?","6","en"
"My seat belt's too tight .","1","en"
"Tell me publishing dates.","9","en"
"Haluan tavata Nathan Whiten.","2","fi"
"This is the largest police car I've ever seen .","7","en"
"It isn't like it used to be .","6","en"
"Nauti nyt.","9","fi"
"Odota hetki Tom.","9","fi"
"Loistava ajoitus.","5","fi"
"She's gonna kill him , [PERSON] .","4","en"
"Nice to meet you.","9","en"
"It was the same night that the tanks entered Prague.","9","en"
"I warn you , if this case comes to trial , it will be before a French court .","4","en"
"Meidän täytyy päästä pumpulle.","9","fi"
"I don't know . We just ... became friends . And then it became more than that .","8, 5","en"
"Minä asuin vanhempieni luona 23vuotiaaksi asti.","9","fi"
"Voin auttaa.","8","fi"
"Well it could happen couldn't it?","9","en"
"Pidetään kiirettä.","9","fi"
"Se löytyi Baltimoresta.","9","fi"
"Your word to a breechclouted savage ?","3","en"
"One look from the head of [LOCATION] can turn all creatures into stone .","4","en"
"Makasin koulun väittelyklubilaisten kanssa.","6","fi"
"And if you want something sugar - coated , I'll order you dessert .","2, 5","en"
"Hey , warden ! Catch !","2, 7","en"
"Älä kävele pois.","1","fi"
"Mene! Heti!","9","fi"
"Parin päivän päästä.","9","fi"
"We have to drop the case .","6","en"
"Terve Barley.","9","fi"
"Olet hänen varjossaan.","1","fi"
"Mayii!","5","fi"
"It would be a pity if you died , not me","6","en"
"Mutta et saa auttaa häntä.","9","fi"
"Malibussa.","9","fi"
"If you press here , you can make drawings .","2","en"
"Aloitetaan sitten.","2","fi"
"On helpompi kestää se mikä tulee pääni ulkopuolelta.","9","fi"
"I read it in a report this morning and ...","6","en"
"Siinä ei ole mitään häpeämistä.","8","fi"
"Puolustus toivottavasti kuulostaa paremmalta.","9","fi"
"Me emme välttämättä enää koskaan näe Keisarinnaa.","9","fi"
"Me and the brothers are gonna pray dhuhr together.","9","en"
"When we go , you go !","8","en"
"When I saw you hesitate about accepting that $25000.","9","en"
"You got a minute man?","9","en"
"Didn't you march today ?","7","en"
"Tule hetkeksi tänne.","2","fi"
"Brooklyn. Miksei St.","9","fi"
"Meidän on haettava hänet.","3","fi"
"Sinulla on mahdollisuus päätellä itse.","8","fi"
"Peli poikki.","9","fi"
"He ought to be president .","8","en"
"What does it matter ?","1","en"
"How great can you kiss ?","7","en"
"Valehtelet.","3","fi"
"Who the hell are you to ask all these questions ?","1","en"
"Näytät vanhemmalta.","9","fi"
"I'll be right out.","9","en"
"Help . Help me .","4","en"
"Tarkistan asian.","9","fi"
"Kaverini sanovat sitä tyhmäksi.","9","fi"
"Hän vaivalloisesti edes muisti isäänsä, joka meinasi tulla hulluksi - poikansa katoamisen vuoksi.","6","fi"
"Joku on varastanut vaatteeni.","4","fi"
"Kotietsintälupa.","9","fi"
"Sama täällä.","9","fi"
"Tämä muistuttaa meitä siitä miksi teimme keikan.","9","fi"
"The monster ?","4, 7","en"
"Minä ostin asun!","5","fi"
"No , I'm glad to meet your daughter .","5","en"
"Palaan Moskovaan tänään.","2","fi"
"Nyt se on vankila.","9","fi"
"Se on neuvostokirjailijoiden kylä.","9","fi"
"Pidä pintasi.","8, 2","fi"
"Pyydän vain sinua olemaan varovainen.","4","fi"
"You give us a fair shake , we'll give you a fair shake .","8","en"
"Onko tänään tiistai?","9","fi"
"Lopeta! Käsken sinua!","1","fi"
"Olen tosissani.","9","fi"
"Yeah ?","2, 7","en"
"He leveraged himself up to his eyeballs . The investments didn't work out ... He got himself in serious debt .","3, 6","en"
"Power is on its way .","8, 2","en"
"Martin James detective sergeant Benti.","9","en"
"And see that you get out of town .","1","en"
"Mikä minua vaivaa?","1, 4","fi"
"What was the wish?","9","en"
"Tämä vasta on upeaa!","5","fi"
"Tänä iltana juhlitaan ympäri Harlemia - ja Etelä-Bronxia ja Bed-Stuyta.","2","fi"
"Tulen takaisin kun olen päättänyt työni.","2, 5","fi"
"Loukkaantuneen kanssako?","1, 4","fi"
"Minulla on kutina korvan takana..","9","fi"
"Äitisi oli parhaimpia ystäviäni.","8","fi"
"If they love it they will always love it.","9","en"
"Sinulla ei ole pahoja ajatuksia.","9","fi"
"Hän näyttää siistiltä rusetteineen.","5","fi"
"Kuinka perun loitsun?","9","fi"
"How come we never met before ? - No idea .","7","en"
"Well how come?","9","en"
"En.","9","fi"
"Whole mountains have turned empty.","9","en"
"Mihin me halutaan ne?","9","fi"
"He kunnioittavat sinua enemmän jos näkevät sinua harvemmin.","9","fi"
"Kaikki hyvin Jimmy.","9","fi"
"Kreivi Verua!","9","fi"
"What are you afraid of?","9","en"
"Niin mutta sinut on valittu kantamaan Aurynia.","9","fi"
"Uh agency...","9","en"
"Ehkäjoku toinen...","6","fi"
"Katolla.","9","fi"
"Calvary Pinkertons...","9","en"
"Saammeko neuvotella?","9","fi"
"Get in touch with them . Meet us at the border .","2","en"
"Hey Cap.","9","en"
"What is it?","9","en"
"Minne hän meni?","9","fi"
"Hey , let's play With the mystic spirit board , ok ?","2, 5","en"
"Oikea klassikko.","2, 5","fi"
"You gonna invite us in ?","1","en"
"X-58 näyttää olevan menestys.","5","fi"
"How did eggs get into the conversation ?","7","en"
"Jono oli loputon.","6","fi"
"Kiitos.","9","fi"
"Hello.","9","en"
"It's nice to have somebody to say goodbye to .","5","en"
"Anteeksi häiriö näin aamutuimaan.","2, 7","fi"
"Olen nähnyt älykkäämpiä banaanejakin.","3","fi"
"Pretend the guy's like a balloon .  ","2","en"
"Edward tulitko kaupunkiin työn vai huvin vuoksi?","9","fi"
"Lupaan olla kiltti poika.","8","fi"
"You'll stay on a nice boat.","9","en"
"In the old days when we nicked someone no one got hurt , and no one lost anything very much .","1","en"
"[PERSON] , may I come in ?","2","en"
"I was not impressed with the First Circuit's thinking.","9","en"
"Fifteen.","9","en"
"And how about translators ?","1","en"
"Why , [PERSON] , what a thing to say !","3","en"
"Kuulitko?","9","fi"
"You were asking who's Jake who's Mason who's Essay.","9","en"
"I'm so pissed at you ! I'm really pissed , OK ?","1, 3, 6","en"
"See ?","2","en"
"Kuka tämä on?","9","fi"
"Oletko kunnossa?","9","fi"
"Mikä läävä tämä onkaan.","3","fi"
"[PERSON] ! - He was right about the motel .","8","en"
"One car behind us . - Let's go there .","2","en"
"Did you have a warrant?","9","en"
"Yes they told me that.","9","en"
"Siitä sinä vain puhut.","6, 7","fi"
"Y - You mean we're gettin' off this submarine ?","4","en"
"You wouldn't be the first person to leave a job for personal reasons.","9","en"
"Gentlemen...","9","en"
"You haven't bothered to find out ?","1","en"
"Oh , macaroni and cheese . - Same old story .","6","en"
"Vain maili tai kaksi.","9","fi"
"There ought to be some ...","7","en"
"Haastoimme riitaa.","9","fi"
"He just got drunk and stared .","3","en"
"Why wouldn't they have told me ?","7","en"
"Likewise.","9","en"
"There's your answer , professor .","1","en"
"I'm sorry , I just made a mistake .","8, 4, 6","en"
"Siitä ei jää painojälkiä.","9","fi"
"I want to know absolutely everything that's happened up till now .","2","en"
"Pussy.","9","en"
"Älä minusta välitä.","9","fi"
"Sinulla ei ole vaihtoehtoja.","1, 6","fi"
"Hi Johnny. - Thank you.","9","en"
"Kun menin kanssasi naimisiin sinusta tuli Veruan kreivitär.","9","fi"
"You're young and strangely sweet .","5","en"
"Voisitteko auttaa?","8","fi"
"What's an angel ?","1, 2, 7","en"
"We're it.","9","en"
"Tule ulos sieltä nyt heti.","1","fi"
"You're not beginning that again , are you ?","7","en"
"I just went to the store for the cookies .","6","en"
"Olemme kahden.","8","fi"
"Sinuun voisi kyllä ihastua.","8, 5","fi"
"Sinunhan ne pitäisi tietää.","1","fi"
"First things first . Wait , I got it .","5","en"
"Hiivatti!","1","fi"
"The sword drew blood from the wounds and King [PERSON] was saddened . ","4, 6","en"
"Then I turn my back , and he steals a glass .","3","en"
"Yeah , it probably is too .","8","en"
"Hän on mukana.","9","fi"
"Well , do you plan everything ?","1, 2","en"
"Mitä minä sanoin miekoista?","4","fi"
"You come to a crime scene , you don't know who to shoot .","1, 2, 4, 7","en"
"You don't like what you're doing ?","7","en"
"Yeah , I really want to know .","2","en"
"It's a hardened prune.","9","en"
"And it's 111 Astoria Boulevard Queens New York 11101.","9","en"
"Toivottavasti egosi ei kärsi.","3","fi"
"I'll show you how simple this can be ... when you know what you're doing .","8","en"
"Miten saatoit tehdä tämän?","9","fi"
"And He was sent to save us .","8, 2","en"
"Olen.","9","fi"
"But they began spreading wild rumours about steaming in circles . -","1, 4","en"
"ja sanotaan että kohtalo liitti meidät.","9","fi"
"And also...","9","en"
"Sinäkään et pidä työstäsi?","8, 2, 7","fi"
"Junior !","2, 5","en"
"Kyllä teidän pyhyytenne.","9","fi"
"I got ta impress the British .","2","en"
"I heard you ran into some trouble today .","4","en"
"Edward on tavoitelluin poikamies.","2","fi"
"Älä turhia ujostele, kysy suoraan vain.","2","fi"
"4 vuotta sitten.","9","fi"
"Pitikö minun tulla tänne asti kertomaan teille tätä?","1","fi"
"What do you think we ought to do that's fitting and proper ?","1, 2","en"
"Huomioi minut nyt.","1","fi"
"Mennäänkö Burger Kingiin?","2","fi"
"Hän on upea tyttö.","8, 5","fi"
"Sheriffi Ticker?","9","fi"
"Etkä tunne.","6","fi"
"Me solmitaan sopimus huomenna.","2","fi"
"I think an apology ...","6","en"
"Your Ma's in a coffin being eaten by worms .","1, 3","en"
"Mitä olet ottanut?","9","fi"
"Te voitte joko auttaa minua tai pysyä poissa tieltäni.","1","fi"
"I am making the immediate arrangements for my necessary...","9","en"
"Niinhän sinä olet kertonut, Shooter.","8, 6","fi"
"Oikein hyvää huomenta, herrat.","5","fi"
"Nouskaa.","9","fi"
"She wears the pants alright , but somehow she always strips her gears .","7","en"
"Olette tehnyt kevätsiivouksenkin yhdessä päivässä.","7","fi"
"Sanokaa Kremlille, että tämä on vasta alkua!","1","fi"
"Personal. For Mr Bartholomew Scott Blair.","9","en"
"Teillä itsellänne ei ollut aavistustakaan niistä.","9","fi"
"Hän on... Tee on myrkytetty!","1, 3, 4, 7","fi"
"Tässä on vihje.","9","fi"
"Sehän oli mukavaa, eikö vaan?","5","fi"
"Lancey Howard on vanha.","9","fi"
"Lisa, se on täydellinen.","5","fi"
"Hän sanoi että nyrkkeily on 90%% kallossa ja 10%% kehossa.","9","fi"
"She had my finger , you know ...","6","en"
"Good morning !","5","en"
"Jakov sanoi etteivät venäläiset tee loppua siellä tapahtuvista muutoksista.","9","fi"
"lstun.","9","fi"
"We just have to find someone else with more sense .","3","en"
"Älä ole nenäkäs.","1","fi"
"You call the Fingerprint Lab on the bar glass?","9","en"
"Lab analysis has confirmed that the scarf fibers match the one you were seen wearing.","9","en"
"Vien sinut kotiin.","8","fi"
"Niin minäkin.","9","fi"
"She's a good person .","8, 5","en"
"This way please.","9","en"
"There's somebody out there .","7","en"
"Jep ilmiselvät menkat.","9","fi"
"Olet hyvä mies.","8, 5","fi"
"Koska niitä on paljon joidenkin yksityiskohdat saattavat unohtua?","9","fi"
"In my estimation , gentlemen , [PERSON] is no risk .","8","en"
"Haluatko tämän oven myös?","2","fi"
"I'm not interested in your opinion .","1","en"
"( Coughing ) Do you know you're out of your mind ?","8, 4, 7","en"
"Don't panic .","8, 4","en"
"Surprise !","5","en"
"Voitteko kävellä?","9","fi"
"Se kuuluu asiaan.","9","fi"
"Mamma...","6","fi"
"Tajuatko? Tajuan.","9","fi"
"It must be in your genes.","9","en"
"Nick!","9","fi"
"Kutsu apua.","8","fi"
"Vauhtia!","1, 2, 4","fi"
"Mitä teet elääksesi?","9","fi"
"Maybe we've missed him already .","4","en"
"Kapteenilla on myös rehelliset kasvot.","8","fi"
"Mutta minähän olen todellinen.","9","fi"
"Tarkoituksena on tietenkin - toivottavasti kerätä 20 000 dollaria kampanjaani.","2","fi"
"[Music] Push your seat back.","9","en"
"Lisa Williams.","9","en"
"There's better things waiting for you when you get out .","8, 2","en"
"He osaavat paremmin.","9","fi"
"Jos vielä yksikin kaveri lähentelee minua, annan hänelle päin näköä.","3","fi"
"Ovat aina huoneessa.","9","fi"
"Bad little boys get something else.","9","en"
"Lompoc's a big pen right?","9","en"
"How much farther is it , Mr O'[PERSON] ?","2","en"
"Ammu se, Cooper.","4","fi"
"I concluded that this was not an objective study .","6, 7","en"
"Viimeinen toiveesi on naida?","7","fi"
"Jesse ja minä näytämme teille hyvän ja pahan mestaruusottelun!","9","fi"
"So...","9","en"
"Stand by and see his wife insulted ?","3","en"
"Sillä tavalla.","1, 5","fi"
"How about a homecoming dance for your old man ?","2, 5","en"
"Joku heitti rengasketjun, joka osui häntä suuhun.","4","fi"
"Vastustan suunnitelmaanne.","3","fi"
"Name someone? - Like give you a name?","9","en"
"So you're figuring what ? The guy she was having cocktails with did her ?","3","en"
"Find someone else to sing about .","1","en"
"These are the firearms we use.","9","en"
"Which future has God , if there is a God , chosen for man's destiny ?","4","en"
"Script girl.","9","en"
"Tuo aseeni tullessasi!","9","fi"
"Oliko tämä teidän mielestänne lavastettu raiskaus?","9","fi"
"This is hard enough .","4, 6","en"
"Se läylyi johtua siitä kirolun naisen kirkumisesla.","3","fi"
"Wait !","2, 4, 7","en"
"Teitte täydellisen rikoksen.","8","fi"
"Mr. Cooper can you hear me?","9","en"
"I thought you didn't --","2, 7","en"
"This looks good .","5","en"
"There's 21 now or maybe 22 or 23.","9","en"
"Yksi kansio puuttuu kokonaan!","4, 7","fi"
"On 60lukua 80lukua Sinatraa ja Beatlesia.","9","fi"
"What is she the usual fat-arsed frump?","9","en"
"With the speechwriting , I don't want to do it anymore .","3","en"
"Tiesitkö, että jalka on yhtä pitkä kuin kyynärpään ja ranteen väli?","7","fi"
"If it wouldn't be too much trouble .","8, 4","en"
"[PERSON] , I'm going to let you in on something .","8","en"
"Unohda koko asia.","1","fi"
"She went home to mama.","9","en"
"Cdr. Owynn meet Ensign Dorne.","9","en"
"Äitini ja isäni auttavat kyllä meitä, olen varma siitä.","8","fi"
"But when I told the police , I do not think they believed me .","6","en"
"Mahdottomia suhteita.","3, 6","fi"
"What have you got in there , [PERSON] ?","2, 7","en"
"Siellä on tapahtunut jotakin kauheaa.","4","fi"
"Voisitko yrittää olla hieman vähemmän vihainen minulle?","1, 6","fi"
"Joku on nyt erehtynyt osastosta.","9","fi"
"The bastard [PERSON] betrayed us","1, 3, 4","en"
"Minä otan laukkunne.","9","fi"
"It makes me sad .","6","en"
"Can't you see how upset I am about my poor uncle's death ?","6","en"
"I was in a classified briefing so she left a voice mail.","9","en"
"Pitäkää hyvää huolta rouvastanne.","8, 2, 4","fi"
"Nyt riitti. Ei enää nauhoja, perkele.","1","fi"
"It's no good .","6","en"
"The carriers pulled out Friday.","9","en"
"Hundred.","9","en"
"Let me have a taste of it .","2","en"
"Häpeän todella itseäni.","6","fi"
"Well , I will be very glad to hear it .","2","en"
"Mitähän ihmettä hän haluaa?","7","fi"
"Pidätkö sinä sinisestä?","9","fi"
"Yeah , let's talk business , my friend","8","en"
"Brian?","9","fi"
"Saisimmeko kahvia?","2","fi"
"I asked you a question .","1","en"
"Olen jo pakannut ja valmis lähtemään.","9","fi"
"Stay focused , keep your distance . You must not be revealed .","2, 4","en"
"Haluat kännätä ja rypeä itsesäälissä.","3","fi"
"You can't do this ...","1","en"
"Some poor son of a bitch on a public - indecency charge ... Paid off a PA to have his case dismissed .","1","en"
"He refuses an offer to merge with the New York Trust , the only thing that'll put this bank on safe ground .","1","en"
"Tuo hänet tänne, ole kiltti.","8, 4","fi"
"Come on ! No , no , I don't want to go to the women's gymnasium .","3, 4, 6","en"
"Ässäkuningas lyö.","9","fi"
"Eikö hän muka tunne tuskaa?","6, 7","fi"
"Open the windows !","1","en"
"These can be disposed of only by incapacitating the brain .","8, 4","en"
"Everyone thinks they have even people who don't.","9","en"
"Hanki hartiakotelo.","9","fi"
"Haluatko minut?","9","fi"
"Get the camera on this right now !","2","en"
"I want to get away from you cops and wops and junkies .","1, 3","en"
"No you're gonna smile.","9","en"
"But I just escaped from here ! Don't you understand ?","1","en"
"Miksi rakkaus minua kohtaan on aina niin vakavaa?","6","fi"
"Takaisin aloitteeseen.","2","fi"
"The wardrobe is a symbol of how you are.","9","en"
"We're done.","9","en"
"Tiedän myös seurantakeikoista ja videokaseteista.","9","fi"
"Siksi rakastan heitä.","5","fi"
"If you're dirty you're going.","9","en"
"Rocky.","9","en"
"But you can not do this !","1","en"
"Mormonikuoro?","9","fi"
"How come I never see you eating ?","7","en"
"It turns out that [PERSON] , in his early career , actually spoke and wrote about UFOs in a way that was affirmative , that was legitimate .","8, 7","en"
"Can't shoot a kid , can you , fucker ?","1, 3","en"
"Sinähän olet intiaani.","7","fi"
"Mitä saisi olla?","9","fi"
"Condoms.","9","en"
"The doctor said you shouldn't excite yourself .","4","en"
"Ja sinä - mitä ikinä haudotkin, unohda se, tai päädyt kuoliaaksi.","3","fi"
"En ole ikinä nähnyt tuota liikettä!","9","fi"
"Loput omaisuudesta kuuluvat herra Inglethorpille.","9","fi"
"Look I got money to spend in here.","9","en"
"Hey , did you find him ?","2","en"
"Muuten olisin tullut kotiin, halusi hän tai ei.","7","fi"
"Siinä se vika on!","5","fi"
"Siivooja löysi ruumiin.","4, 6","fi"
"Sitten voisimme johtaa pari tuhatta volttia hänen lävitseen.","9","fi"
"I want some more beer .","2","en"
"Sisar Inviolatan huone on vieressä.","9","fi"
"Luulin, että saan esittää kysymyksiä.","1","fi"
"Me tarvitsemme apuasi.","8, 2, 4","fi"
"Did it ever occur to you , [PERSON] , that the prince looked everywhere for [PERSON] just so that he could put the shoe back on her foot ?","1","en"
"Saitko yhteyden?","9","fi"
"Jatka naulaamista kiinnitä kiinnitä!","9","fi"
"Terroritaktiikkaa.","9","fi"
"Runo?","9","fi"
"Mennäänkö uimaan?","9","fi"
"Mitä me teemme?","9","fi"
"So you don't know what happened .","6, 7","en"
"Ennen kuin huomasinkaan hän vei popcornkoneensa ja kuntopyöränsä ja muutti yhteen 23vuotiaan tarjoilijansa kanssa.","9","fi"
"Täällä on riittävästi.","5","fi"
"Mestari tuli etsimään meitä.","9","fi"
"So he kisses your hand period.","9","en"
"Want me to pick out one for you , Dutch ?","8","en"
"What?","9","en"
"- Hän oli syytön.","7","fi"
"Pidä se vakaana, kunnes käsken.","8","fi"
"Why don't you back the hell off of her ?","1","en"
"Olet aina tukena.","8, 5","fi"
"They are a strange pair! Yes.","9","en"
"Hannah...","9","fi"
"They'd give me ten to twenty years !","4","en"
"Sanon tämän ystävänä.","8","fi"
"Yeah why?","9","en"
"Hän on nyt kasassa.","9","fi"
"So I guess growing up in the wetback section of [LOCATION] wasn't that bad .","2, 5","en"
"Älä toni.","1, 3","fi"
"Säkö tulet tänne tän porukan kanssa pyytämään mua tappeleen sun kanssa?","1, 7","fi"
"Rouva nelonen kymppi kuningas kuningas ja ässä mestarille.","9","fi"
"Oh of course we are.","9","en"
"Dear Senator , have you got any idea what it takes to get a bill passed ?","1","en"
"Tulin heti kun sain tiedon tapahtuneesta.","9","fi"
"Roger 26.","9","en"
"Would you stop harrassing her ? But if you'll let me point out that my client's mental state ...","1, 3","en"
"Onko selvä?","9","fi"
"It's for a good cause .","5","en"
"I thought we'd celebrate . Going to take us to dinner ?","2","en"
"Sun on haastettava se mies otteluun Tommy.","9","fi"
"Hei pikku kaveri.","9","fi"
"The only reasonable explanation is a germ , a bacteria or a virus , that has a mind - altering effect .","4, 6","en"
"[PERSON] , I know that you're into a lot of crooked shit .","3","en"
"That's much better .","5","en"
"Come on.","9","en"
"[Whispering] No...","9","en"
"There's no script for this one?","9","en"
"Suorempi ryhti!","1, 4","fi"
"Lopeta, Kit. Alat olla kitisijä.","1","fi"
"The vice president.","9","en"
"Not a word of this to anyone.","9","en"
"You'd still be my [PERSON] .","8","en"
"Uh off message throughout.","9","en"
"Now Mr Keith...","9","en"
"Ei!","9","fi"
"The women have to move before it's too late .","2","en"
"Enkeli on hyvä olla omalla puolella.","9","fi"
"That'd be great . Thank you .","8, 7","en"
"Et voi väittää, ettei illallinen ole onnistunut.","5","fi"
"Oletetaan että hän jää henkiin.","2","fi"
"Olkaa hyvä vain.","5, 6","fi"
"Miten vain ylennys jolla hänestä tehdään vanhempi konstaapeli on jo julkaistu.","9","fi"
"Why?","9","en"
"[PERSON] , I'm thinking of the baby !","1","en"
"I have to go.","9","en"
"They say he killed a man when he was 12 , years old .","4","en"
"So what do you want to do ?","2","en"
"I think I was a little in love with her.","9","en"
"On the basis of what?","9","en"
"Don't tell me you're embarrassed ?","7","en"
"Meihin poliisivoimiin. Konstaapelit tarkastajat...","9","fi"
"Luulin, että puhkuisit intoa.","7","fi"
"This whole thing won't just disappear though.","9","en"
"Kun kuvittelit itsesi vietäväksi - tähän kuvitteelliseen kaupunkiin, Midianiin, - mitä syntejä olisit saanut anteeksi?","3","fi"
"Okei.","9","fi"
"Really?","9","en"
"In Beverly Hills? - Yeah.","9","en"
"Why , this was given to me by a very dear friend .","5","en"
"Koulun vaihto on hankalaa.","4","fi"
"Everybody is afraid here .","4","en"
"Will you please stop telling me how to run my life for a couple of minutes ?","1","en"
"What are you looking at me like that for ?","1","en"
"Olimme huolissamme teistä.","4","fi"
"Ei siinä ole mitään järkeä.","7","fi"
"Miten voimme rakentaa Rivolin uudestaan?","9","fi"
"Onko jokin hätänä?","9","fi"
"I had fights ... . . and every one of 'em I was scared , so yeah , you know , that's real , real normal .","4, 6","en"
"Really?","9","en"
"Hevosissa ei ole ilmastointilaitteita.","9","fi"
"Powell oli hyvä mies.","8, 5","fi"
"What is it?","9","en"
"Eikö olekin fantastista?","5","fi"
"Just leave him alone !","1","en"
"The secret of my submarine boat And the energy that propels it?","9","en"
"Onko täällä mukava asua?","9","fi"
"What do you sell?","9","en"
"Niin minäkin olisin.","9","fi"
"Miksei nyt saman tien?","6, 7","fi"
"Se on normaalia.","9","fi"
"We'd always had personal ads and display ads which were massage parlors.","9","en"
"We're due back in [LOCATION] as early this evening as we can make it .","2","en"
"A force of nature capable of giving rise to all things wicked ?","4","en"
"Sait Caseyn ihan sekaisin, koska häntä pelotti.","3","fi"
"Hän kiipesi kattoparruille hakemaan sitä. Se on lähes painoton.","9","fi"
"Luulin että saan esittää kysymyksiä.","9","fi"
"Unohda, mitä teini-iässä tapahtui ja jatka matkaa.","8, 2, 5","fi"
"And Balboa goes down again from a right hand.","9","en"
"Miltä minä näytän?","2, 5","fi"
"Tämä on kuin unelmaa.","5","fi"
"Kahvi on valitettavasti loppu.","6","fi"
"Hän haluaa olla opastajani, ja sitä juuri kaipaan.","8","fi"
"Näitkö painajaisen? Mistä uneksit?","4, 7","fi"
"Stella opastaa sinut alkuun.","9","fi"
"Shostakovich still composed music...","9","en"
"Se on meidän tapamme yrittää ymmärtää.","8","fi"
"Martin...","9","fi"
"I live only for revenge .","1","en"
"Minä haluan vilkaista.","9","fi"
"You never used to drink it straight like that .","7","en"
"Nähdään Waverlyn elokuvateatterin luona.","2","fi"
"Madame Dupont ranskan opettaja.","9","fi"
"I didn't hurt anyone !","1, 4, 6","en"
"You ain't gonna take no car .","1","en"
"Meillä ei ole aikaa, rahaa eikä valttikorttia.","4, 6","fi"
"Can I just have a quick look round before I go?","9","en"
"I've got to get up .","1","en"
"And that meant everyone.","9","en"
"Hemmetti, Liesl...","1","fi"
"Olin pienintäkin pienempi, mutta merkitsin silti jotain.","5","fi"
"We came outside giddy and reeling .","5","en"
"You've got some legitimate complaints .","8","en"
"Kiitos, että sain tulla.","8","fi"
"Liikettä!","9","fi"
"He eivät pyydä pöytäkirjaa. He hyväksyvät lainauksesi.","9","fi"
"Pikkujuttuja korjataan isot mokat peitellään.","9","fi"
"She was a terrific girl , [PERSON] .","2, 5","en"
"Kirkkainta mitä olit koskaan nähnyt.","9","fi"
"What am I , a fuckin' stranger ?","1","en"
"Hänen pitäisi käyttäytyä kuten kuningas.","9","fi"
"Saamme tästä vielä miehistön!","2","fi"
"En tunne ketään Cainia.","2, 7","fi"
"Se taisto mursi minut fyysisesti ja henkisesti.","1, 3, 6","fi"
"It's like falling off a log .","6","en"
"Älkää antako minun kaatua.","4","fi"
"Tahdon.","9","fi"
"My brother took all your cigarettes ? I have another pack .","8, 1, 6, 7","en"
"Autatko minua siirtämään pöydän?","8","fi"
"Laulaisitko kanssani?","2","fi"
"You're attractive enough to be anything .","5","en"
"Sanoinhan ettet saa tulla aulaan.","1","fi"
"They are perfectly safe .","8","en"
"Pahin voi olla helpotus.","9","fi"
"Olen Ukrainahotellissa.","9","fi"
"Watch it , it's still wet .","4","en"
"En tiedä mistä naisesta te puhutte.","9","fi"
"Come inside.","9","en"
"Now knock it off !","1","en"
"But for bikers , it's all about showing you're not scared .","8","en"
"Of course I heard you.","9","en"
"Sehän oli heitto, kaikkihan sen tietävät.","3","fi"
"Or just plain insane?","9","en"
"It is infernal !","1, 4, 7","en"
"Tuo ei ole minun näköiseni.","9","fi"
"Prostituoidut yrittävät vetää teidät moraalittomuuksien pariin.","3","fi"
"Glasnostista huolimatta ystäväni kirjaa ei ole vielä mahdollista julkaista... Neuvostoliitossa.","6","fi"
"[PERSON] did everything he could , but they got away .","6","en"
"Right . And the living room nose and the kitchen forehead and den ears .","1","en"
"It looks very nice on you .","5","en"
"All my failings were preparations for meeting you .","6","en"
"Ja toivon, että se voisi lentää yhtä nopeasti kuin Concord - ja että se haisisi niin pahalle, että kaikki tulisivat sairaaksi.","2","fi"
"I think we should talk .","4","en"
"Me syömme tässä.","9","fi"
"En voi Lionel.","9","fi"
"Kehtaatko sinä pilkata kuningatartasi.","3","fi"
"Ladies and gentlemen , the famous [PERSON] has gladly consented to sing a few songs for us tonight .","2","en"
"Hermokeskukset ovat toiminnassa.","9","fi"
"And I got so drunk I puked spaghetti everywhere .","7","en"
"Se matkusti vain koiramme kanssa.","9","fi"
"Niin mitä?","1","fi"
"But he didn't give a shit .","1","en"
"And you are definitely not insane .","8","en"
"Olet pieni ja heikko kuin tyttö.","3","fi"
"Sain heti haasteen suuren valamiehistön eteen.","9","fi"
"Koska tämä on rakastunut häneen.","8, 2, 5","fi"
"Meillä on vielä muutama ikkuna suojattavana.","9","fi"
"Minun on pidettävä huolta karjastani.","8","fi"
"Good night.","9","en"
"What is it?","9","en"
"Thank you . I am still curious","5, 7","en"
"Haluaisin sen toistaiseksi pitää - omana tietonani.","4","fi"
"Saimme juuri jättipotin.","5","fi"
"Haluatko minun kääntävän kirjeen vai et?","9","fi"
"Her father murdered her mother .","3, 6, 7","en"
"Welcome .","8, 5","en"
"Tämä on Audemars Piguet.","9","fi"
"Sanotaan niin, että vainaja ja minä olimme sinkkuja ja aikuisia.","3","fi"
"Molemmat pannaan paikoilleen.","9","fi"
"We're gonna freeze to death .","4","en"
"Haluaisitko aamiaiselle?","2","fi"
